0	1.81E-37
1	8.30E-32
2	4.90E-29
3	3.51E-27
4	8.70E-26
5	1.14E-24
6	9.76E-24
7	6.16E-23
8	3.09E-22
9	1.30E-21
10	4.71E-21
11	1.52E-20
12	4.46E-20
13	1.20E-19
14	3.02E-19
15	7.14E-19
16	1.60E-18
17	3.41E-18
18	6.96E-18
19	1.37E-17
20	2.61E-17
21	4.80E-17
22	8.61E-17
23	1.50E-16
24	2.56E-16
25	4.28E-16
26	6.99E-16
27	1.12E-15
28	1.77E-15
29	2.75E-15
30	4.20E-15
31	6.32E-15
32	9.40E-15
33	1.38E-14
34	2.00E-14
35	2.87E-14
36	4.08E-14
37	5.73E-14
38	7.98E-14
39	1.10E-13
40	1.51E-13
41	2.04E-13
42	2.75E-13
43	3.68E-13
44	4.88E-13
45	6.43E-13
46	8.42E-13
47	1.10E-12
48	1.42E-12
49	1.82E-12
50	2.33E-12
51	2.96E-12
52	3.75E-12
53	4.72E-12
54	5.92E-12
55	7.38E-12
56	9.17E-12
57	1.13E-11
58	1.40E-11
59	1.71E-11
60	2.09E-11
61	2.55E-11
62	3.09E-11
63	3.73E-11
64	4.49E-11
65	5.39E-11
66	6.45E-11
67	7.69E-11
68	9.14E-11
69	1.08E-10
70	1.28E-10
71	1.51E-10
72	1.78E-10
73	2.08E-10
74	2.43E-10
75	2.84E-10
76	3.30E-10
77	3.84E-10
78	4.44E-10
79	5.14E-10
80	5.92E-10
81	6.82E-10
82	7.83E-10
83	8.97E-10
84	1.03E-09
85	1.17E-09
86	1.34E-09
87	1.52E-09
88	1.73E-09
89	1.96E-09
90	2.21E-09
91	2.50E-09
92	2.82E-09
93	3.18E-09
94	3.58E-09
95	4.02E-09
96	4.50E-09
97	5.05E-09
98	5.64E-09
99	6.31E-09
100	7.03E-09
101	7.84E-09
102	8.72E-09
103	9.70E-09
104	1.08E-08
105	1.19E-08
106	1.32E-08
107	1.46E-08
108	1.62E-08
109	1.79E-08
110	1.97E-08
111	2.18E-08
112	2.40E-08
113	2.64E-08
114	2.90E-08
115	3.18E-08
116	3.49E-08
117	3.83E-08
118	4.19E-08
119	4.59E-08
120	5.02E-08
121	5.48E-08
122	5.99E-08
123	6.53E-08
124	7.12E-08
125	7.75E-08
126	8.44E-08
127	9.18E-08
128	9.98E-08
129	1.08E-07
130	1.18E-07
131	1.27E-07
132	1.38E-07
133	1.50E-07
134	1.62E-07
135	1.75E-07
136	1.89E-07
137	2.04E-07
138	2.20E-07
139	2.38E-07
140	2.56E-07
141	2.76E-07
142	2.97E-07
143	3.19E-07
144	3.43E-07
145	3.68E-07
146	3.95E-07
147	4.24E-07
148	4.54E-07
149	4.86E-07
150	5.21E-07
151	5.57E-07
