"Time","Result (Magnitude) (stats)"
0,1.80624e-37
1,8.29968e-32
2,4.90125e-29
3,3.50546e-27
4,8.69672e-26
5,1.14035e-24
6,9.76207e-24
7,6.15827e-23
8,3.08841e-22
9,1.29534e-21
10,4.708e-21
11,1.52172e-20
12,4.45979e-20
13,1.20303e-19
14,3.02226e-19
15,7.13792e-19
16,1.59706e-18
17,3.40662e-18
18,6.96407e-18
19,1.37045e-17
20,2.60595e-17
21,4.80365e-17
22,8.60785e-17
23,1.50311e-16
24,2.56319e-16
25,4.27642e-16
26,6.9921e-16
27,1.12203e-15
28,1.76945e-15
29,2.74552e-15
30,4.19588e-15
31,6.32194e-15
32,9.39907e-15
33,1.37997e-14
34,2.00225e-14
35,2.87288e-14
36,4.07876e-14
37,5.73316e-14
38,7.98245e-14
39,1.10144e-13
40,1.50681e-13
41,2.04457e-13
42,2.75271e-13
43,3.67861e-13
44,4.88105e-13
45,6.43255e-13
46,8.42203e-13
47,1.0958e-12
48,1.41721e-12
49,1.82234e-12
50,2.33032e-12
51,2.96401e-12
52,3.75067e-12
53,4.72265e-12
54,5.91815e-12
55,7.38215e-12
56,9.16737e-12
57,1.13354e-11
58,1.3958e-11
59,1.71182e-11
60,2.09124e-11
61,2.54514e-11
62,3.08626e-11
63,3.72921e-11
64,4.49065e-11
65,5.3896e-11
66,6.44765e-11
67,7.68926e-11
68,9.14211e-11
69,1.08374e-10
70,1.28102e-10
71,1.51e-10
72,1.77509e-10
73,2.08122e-10
74,2.43391e-10
75,2.83929e-10
76,3.30416e-10
77,3.83609e-10
78,4.44346e-10
79,5.13553e-10
80,5.92251e-10
81,6.81569e-10
82,7.82745e-10
83,8.97145e-10
84,1.02626e-09
85,1.17174e-09
86,1.33538e-09
87,1.51914e-09
88,1.72517e-09
89,1.95581e-09
90,2.21362e-09
91,2.50137e-09
92,2.8221e-09
93,3.1791e-09
94,3.57593e-09
95,4.01647e-09
96,4.50494e-09
97,5.04587e-09
98,5.64419e-09
99,6.30525e-09
100,7.03478e-09
101,7.83903e-09
102,8.72468e-09
103,9.69899e-09
104,1.07697e-08
105,1.19453e-08
106,1.32347e-08
107,1.46477e-08
108,1.61947e-08
109,1.78868e-08
110,1.9736e-08
111,2.17552e-08
112,2.3958e-08
113,2.63593e-08
114,2.89747e-08
115,3.18209e-08
116,3.49159e-08
117,3.82788e-08
118,4.19297e-08
119,4.58903e-08
120,5.01836e-08
121,5.4834e-08
122,5.98672e-08
123,6.53107e-08
124,7.11935e-08
125,7.75463e-08
126,8.44015e-08
127,9.17934e-08
128,9.97581e-08
129,1.08334e-07
130,1.1756e-07
131,1.27479e-07
132,1.38136e-07
133,1.49576e-07
134,1.61849e-07
135,1.75004e-07
136,1.89097e-07
137,2.04181e-07
138,2.20316e-07
139,2.37562e-07
140,2.55982e-07
141,2.75642e-07
142,2.9661e-07
143,3.18957e-07
144,3.42757e-07
145,3.68086e-07
146,3.95022e-07
147,4.23647e-07
148,4.54045e-07
149,4.86304e-07
150,5.20511e-07
151,5.5676e-07
152,5.95144e-07
153,6.35761e-07
154,6.78709e-07
155,7.24091e-07
156,7.7201e-07
157,8.22572e-07
158,8.75886e-07
159,9.32061e-07
160,9.91209e-07
161,1.05344e-06
162,1.11888e-06
163,1.18764e-06
164,1.25983e-06
165,1.33557e-06
166,1.41499e-06
167,1.4982e-06
168,1.58533e-06
169,1.67649e-06
170,1.7718e-06
171,1.87139e-06
172,1.97537e-06
173,2.08387e-06
174,2.197e-06
175,2.31487e-06
176,2.4376e-06
177,2.5653e-06
178,2.69809e-06
179,2.83606e-06
180,2.97933e-06
181,3.128e-06
182,3.28215e-06
183,3.4419e-06
184,3.60732e-06
185,3.77851e-06
186,3.95554e-06
187,4.1385e-06
188,4.32745e-06
189,4.52247e-06
190,4.72361e-06
191,4.93094e-06
192,5.14449e-06
193,5.36433e-06
194,5.59049e-06
195,5.823e-06
196,6.0619e-06
197,6.30721e-06
198,6.55895e-06
199,6.81713e-06
200,7.08175e-06
201,7.35283e-06
202,7.63037e-06
203,7.91434e-06
204,8.20475e-06
205,8.50159e-06
206,8.80482e-06
207,9.11444e-06
208,9.43041e-06
209,9.75272e-06
210,1.00813e-05
211,1.04162e-05
212,1.07573e-05
213,1.11047e-05
214,1.14582e-05
215,1.18178e-05
216,1.21836e-05
217,1.25555e-05
218,1.29334e-05
219,1.33174e-05
220,1.37074e-05
221,1.41034e-05
222,1.45053e-05
223,1.49132e-05
224,1.53271e-05
225,1.5747e-05
226,1.61728e-05
227,1.66046e-05
228,1.70425e-05
229,1.74863e-05
230,1.79361e-05
231,1.83921e-05
232,1.88541e-05
233,1.93223e-05
